Name,Type,MatchPlayed,InningsBatted,NotOuts,RunsScored,HighestInnScore,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,R/O,InningsBowled,Overs,Maidens,RunsConceded,Wickets,Best,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc
Mustafizur Rahman,Bowler ,38,7,6,9,8* v MI,0,0,0,1,9,52.94,5,0,5,0,38,143,1,1121,38,3/16 v MI,3,0,29.5,7.83,22.57,38
N. Jagadeesan,Wicket-Keeper ,5,2,0,33,33 v RCB,0,0,4,0,16.5,113.79,,,1,1,,,,,,,,,,,,
Nathan Coulter-Nile,Bowler ,38,16,5,81,24* v PBKS,0,0,7,4,7.36,115.71,12,0,1,1,37,139.5,1,1052,48,4/14 v RR,5,0,21.91,7.52,17.47,37
Nathan Ellis,Bowler ,3,2,1,18,12 v SRH,0,0,0,1,18,112.5,,,0,0,3,11,0,90,1,1/12 v MI,0,0,90,8.18,66,3
Navdeep Saini,Bowler ,28,6,3,31,12* v DC,0,0,3,0,10.33,88.57,6,0,1,0,28,97.4,1,828,17,2/24 v DC,0,0,48.7,8.47,34.47,28
Nicholas Pooran,Wicket-Keeper ,33,31,4,606,77 v SRH,0,2,35,44,22.44,154.98,11,0,5,1,,,,,,,,,,,,
Nitish Rana,All-Rounder ,77,71,7,1820,87 v CSK,0,13,161,89,28.43,132.46,15,0,6,3,16,19.1,0,154,7,2/11 v RCB,0,0,22,8.03,16.42,16
Noor Ahmad,Bowler ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obed McCoy,Bowler ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odean Smith,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pat Cummins,All-Rounder ,37,26,10,316,66* v CSK,0,2,19,20,19.75,140.44,7,0,4,0,37,139,1,1145,38,4/34 v RR,2,0,30.13,8.23,21.94,37
Prabhsimran Singh,Wicket-Keeper ,5,5,0,50,16 v SRH,0,0,4,2,10,90.9,2,0,0,0,,,,,,,,,,,,
Pradeep Sangwan,All-Rounder ,39,14,7,24,6* v MI,0,0,1,0,3.42,61.53,6,0,6,1,39,133.4,1,1175,35,3/18 v DCH,3,0,33.57,8.79,22.91,39
Prashant Solanki,Bowler ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prasidh Krishna,Bowler ,34,7,5,3,2* v RCB,0,0,0,0,1.5,25,7,0,5,1,34,124.2,0,1152,30,4/30 v SRH,2,0,38.4,9.26,24.86,34
Pratham Singh,Batsman ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pravin Dubey,All-Rounder ,3,1,1,7,7* v MI,0,0,0,0,,53.84,1,0,0,0,3,8,0,72,0,0/14 v SRH,0,0,,9,,3
Prerak Mankad,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prithvi Shaw,Batsman ,53,53,0,1305,99 v KKR,0,10,155,45,24.62,146.3,11,0,4,3,,,,,,,,,,,,
Priyam Garg,Batsman ,19,15,1,205,51* v CSK,0,1,11,7,14.64,110.81,6,0,2,1,,,,,,,,,,,,
Quinton de Kock,Wicket-Keeper ,77,77,5,2256,108 v RCB,1,16,230,83,31.33,130.93,53,14,3,3,,,,,,,,,,,,
Rahul Buddhi,Batsman ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rahul Chahar,Bowler ,42,11,4,31,10 v SRH,0,0,3,0,4.42,96.87,11,0,4,1,41,150,0,1117,43,4/27 v KKR,3,0,25.97,7.44,20.93,41
Rahul Tewatia,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rahul Tripathi,Batsman ,62,60,7,1385,93 v KKR,0,7,136,48,26.13,136.31,23,0,1,4,1,1,0,12,0,0/12 v KKR,0,0,,12,,1
Raj Bawa,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajvardhan Hangargekar,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramandeep Singh,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramesh Kumar,Batsman ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rashid Khan,Bowler ,76,35,11,222,34* v KKR,0,0,17,13,9.25,137.03,20,0,11,2,76,302,4,1912,93,3/7 v DC,10,0,20.55,6.33,19.48,76
Rasikh Dar,Bowler ,1,1,1,5,5* v DC,0,0,0,0,,125,1,0,0,0,1,4,0,42,0,0/42 v DC,0,0,,10.5,,1
Rassie van der Dussen,Batsman ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravi Bishnoi,Bowler ,23,4,2,8,6* v SRH,0,0,1,0,4,50,4,0,1,0,23,87,1,606,24,3/24 v SRH,3,0,25.25,6.96,21.75,23
R. Ashwin,All-Rounder ,167,63,22,456,45 v KKR,0,0,37,12,11.12,109.88,37,0,15,5,164,583,4,4031,145,4/34 v PBKS,6,0,27.8,6.91,24.12,164
R. Samarth,Batsman ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravindra Jadeja,All-Rounder ,200,151,63,2386,62* v RCB,0,2,176,85,27.11,128.14,81,0,10,5,171,501.1,2,3816,127,5/16 v DCH,8,1,30.04,7.61,23.67,171
R. Sai Kishore,Bowler ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riley Meredith,Bowler ,5,1,1,0,0 v RR,0,0,0,0,,0,,,1,0,5,17,0,169,4,1/29 v RCB,0,0,42.25,9.94,25.5,5
Rinku Singh,Batsman ,10,8,1,77,30 v SRH,0,0,6,2,11,101.31,6,0,0,0,,,,,,,,,,,,
Ripal Patel,All-Rounder ,2,2,1,25,18 v CSK,0,0,3,0,25,92.59,,,0,0,1,3,0,22,0,0/22 v RCB,0,0,,7.33,,1
