Name,Type,MatchPlayed,InningsBatted,RunsScored,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,R/O,InningsBowled,Overs,Maidens,RunsConceded,Wickets,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc,Specialism,Base Price,Sold Price,C/U,Country
Kartik Tyagi,Bowler ,14,5,6,0,0,0,0,3,60,3,0,1,0,14,52.1,0,491,13,0,0,37.76,9.41,24.07,14,BOWLER,0.2,4,0,1
Karun Nair,Batsman ,73,66,1480,0,10,160,39,24.26,128.36,22,0,3,1,,,,,,,,,,,,BATSMAN,0.5,1.4,1,1
Khaleel Ahmed,Bowler ,24,3,1,0,0,0,0,0.33,20,1,0,2,1,24,90.3,0,786,32,6,0,24.56,8.68,16.96,24,,,,,
Krunal Pandya,All-Rounder ,84,72,1143,0,1,105,46,22.86,138.54,28,0,6,4,81,240.4,0,1773,51,4,0,34.76,7.36,28.31,81,ALL-ROUNDER,2,8.25,1,1
Kuldeep Sen,Bowler ,,,,,,,,,,,,,,,,,,,,,,,,,BOWLER,0.2,0.2,0,1
Kuldeep Yadav,Bowler ,45,11,57,0,0,5,0,9.5,76,11,0,3,3,43,149.2,0,1236,40,2,0,30.9,8.27,22.4,43,BOWLER,1,2,1,1
Kuldip Yadav,Bowler ,1,1,0,0,0,0,0,,0,,,1,0,1,2,0,16,0,0,0,,8,,1,BOWLER,0.2,0.2,0,1
Kyle Mayers,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,ALL-ROUNDER,0.5,0.5,1,0
Lalit Yadav,All-Rounder ,7,5,68,0,0,7,0,34,93.15,5,0,1,0,5,14,0,101,4,0,0,25.25,7.21,21,5,ALL-ROUNDER,0.2,0.65,0,1
Liam Livingstone,All-Rounder ,9,9,112,0,0,9,6,14,125.84,7,0,0,0,1,1,0,13,0,0,0,,13,,1,ALL-ROUNDER,1,11.5,1,0
Lockie Ferguson,Bowler ,22,6,62,0,0,5,2,,151.22,3,0,2,0,22,79.5,1,648,24,2,0,27,8.11,19.95,22,BOWLER,2,10,1,0
Lungi Ngidi,Bowler ,14,0,,0,0,0,0,,0,2,0,0,0,14,54,2,448,25,3,0,17.92,8.29,12.96,14,,,,,
Luvnith Sisodia,Wicket-Keeper ,,,,,,,,,,,,,,,,,,,,,,,,,WICKETKEEPER,0.2,0.2,0,1
Maheesh Theekshana,Bowler ,,,,,,,,,,,,,,,,,,,,,,,,,BOWLER,0.5,0.7,1,0
Mahipal Lomror,All-Rounder ,11,10,181,0,0,8,9,22.62,119.86,1,0,0,0,6,10,0,74,1,0,0,74,7.4,60,6,ALL-ROUNDER,0.4,0.95,0,1
Manan Vohra,Batsman ,53,49,1054,0,3,102,41,22.42,130.6,13,0,3,4,,,,,,,,,,,,BATSMAN,0.2,0.2,0,1
Mandeep Singh,Batsman ,105,92,1674,0,6,172,37,22.02,124.09,37,0,12,3,2,2,0,26,0,0,0,,13,,2,BATSMAN,0.5,1.1,1,1
Manish Pandey,Batsman ,154,143,3560,1,21,309,103,30.68,121.83,75,0,13,6,,,,,,,,,,,,BATSMAN,1,4.6,1,1
Marco Jansen,All-Rounder ,2,2,0,0,0,0,0,0,0,1,0,2,0,2,6,0,45,2,0,0,22.5,7.5,18,2,ALL-ROUNDER,0.5,4.2,1,0
Mark Wood,Bowler ,1,1,1,0,0,0,0,1,33.33,1,0,0,0,1,4,0,49,0,0,0,,12.25,,1,BOWLER,2,7.5,1,0
Matthew Wade,Wicket-Keeper ,3,3,22,0,0,0,0,7.33,66.66,,,0,0,,,,,,,,,,,,WICKETKEEPER,2,2.4,1,0
